"Model","DT","predicitons_ExpDT_RF","predicitons_ExpDT_PLS","Tumor_type","Doubling_time_(days)","Days_to_150mm3","Treatment_history"
"CTG-2073",12.5947795966406,65.80111270156,42.5032958857379,"Sarcoma","9 - 21","15 - 34","Not available"
"CTG-2076",8.34770275591296,84.5465516174567,72.3618165998125,"Sarcoma","6 - 13","10 - 20","Pretreated"
"CTG-2086",17.509815536793,71.0552117749966,64.5749016641724,"Sarcoma","12 - 34","19 - 54","Naive"
"CTG-2103",5.35748087319787,NA,NA,"Sarcoma","4 - 8","7 - 12","Naive"
"CTG-2105",19.4027685677977,NA,NA,"Sarcoma","13 - 25","20 - 39","Pretreated"
"CTG-2113",7.17902437008515,70.98357281972,65.4727167791604,"Sarcoma","5 - 13","8 - 20","Pretreated"
"CTG-2127",12.5947795966406,78.4131672183301,65.840329658581,"Sarcoma","9 - 14","14 - 23","Pretreated"
"CTG-2141",25.6393727503041,96.9211324393733,98.4711613682109,"Sarcoma","17 - 79","26 - 126","Pretreated"
"CTG-2142",6.35311891157978,69.87373680293,61.1979216002118,"Sarcoma","5 - 10","7 - 16","Pretreated"
"CTG-2145",23.9300812336172,76.3940219481733,67.4342148552934,"Sarcoma","22 - 33","35 - 52","Pretreated"
"CTG-2153",5.52232643852704,75.88778199784,69.0464807902365,"Sarcoma","5 - 11","8 - 18","Pretreated"
"CTG-2156",7.17902437008515,70.0371221448,57.0501477595144,"Sarcoma","6 - 8","9 - 13","Pretreated"
"CTG-2166",23.9300812336172,77.9273245570767,72.7415316610412,"Sarcoma","17 - 40","26 - 63","Pretreated"
"CTG-2174",10.557388779537,74.8117526755567,68.4001152456429,"Sarcoma","6 - 167","10 - 264","Pretreated"
"CTG-2212",28.7160974803406,81.3539924450966,80.038277649002,"Sarcoma","24 - 45","38 - 71","Pretreated"
"CTG-2247",14.9563007710107,66.41102211878,56.5892757044935,"Sarcoma","11 - 23","17 - 37","Naive"
"CTG-2250",9.97086718067382,73.8504703961132,69.8423172387382,"Sarcoma","6 - 20","9 - 32","Pretreated"
"CTG-2252",18.4077547950901,81.7400221373999,76.3160303163077,"Sarcoma","14 - 26","21 - 40","Pretreated"
"CTG-2264",9.57203249344686,72.5356799997466,70.5461143317705,"Sarcoma","7 - 17","12 - 27","Pretreated"
"CTG-2265",18.4077547950901,90.8590335670433,85.6102164467247,"Sarcoma","12 - 30","19 - 48","Naive"
"CTG-2266",6.64724478711588,59.3975554841833,41.687862442229,"Sarcoma","5 - 9","9 - 14","Pretreated"
"CTG-2287",17.509815536793,61.7569250718834,56.1071137218289,"Sarcoma","12 - 28","20 - 44","Pretreated"
"CTG-2291",9.20387739754506,61.89320855373,52.4206192492739,"Sarcoma","6 - 17","10 - 27","Not available"
"CTG-2309",17.9475609252129,76.45234969022,73.1362163041254,"Sarcoma","13 - 36","20 - 57","Pretreated"
"CTG-2316",15.2745199363514,76.0185629402267,73.3367055164042,"Sarcoma","11 - 19","18 - 30","Not available"
"CTG-2323",7.47815038550536,74.5893456831633,73.6097231518881,"Sarcoma","5 - 11","8 - 17","Pretreated"
"CTG-2342",37.7843387899218,78.0480530306734,78.5317872690258,"Sarcoma","29 - 54","47 - 86","Pretreated"
"CTG-2355",10.2557491001216,79.9713774791,78.3543700625663,"Sarcoma","8 - 14","13 - 22","Naive"
"CTG-2382",5.88444620498783,78.6455033895266,68.0200504596071,"Sarcoma","5 - 8","7 - 12","Pretreated"
"CTG-2390",59.8252030840429,84.3998217469933,82.3744632024169,"Sarcoma","48 - 66","76 - 105","Naive"
"CTG-2424",79.7669374453906,86.3713042576467,79.9099153328626,"Sarcoma","64 - 143","101 - 227","Not available"
"CTG-2426",13.2944895742317,73.94470080005,63.0751025234672,"Sarcoma","9 - 20","14 - 31","Naive"
"CTG-2474",13.5453290001607,65.5732802931967,59.6398105032006,"Sarcoma","8 - 14","13 - 22","Pretreated"
"CTG-2483",7.97669374453905,NA,NA,"Sarcoma","6 - 12","9 - 18","Not available"
"CTG-2491",13.2944895742318,69.65691836996,63.4040660418869,"Sarcoma","10 - 19","17 - 31","Pretreated"
"CTG-2510",6.13591826503004,71.71971913652,68.5097458004679,"Sarcoma","4 - 8","7 - 13","Pretreated"
"CTG-2618",12.5947795966406,72.5305322157634,59.9994541015895,"Sarcoma","11 - 16","17 - 26","Pretreated"
"CTG-2662",31.2131494351528,74.8858215984767,71.6097307946993,"Sarcoma","22 - 45","36 - 71","Pretreated"
"CTG-2667",12.1678379153986,70.4594267251099,69.1627246459537,"Sarcoma","10 - 14","16 - 23","Not available"
"CTG-2722",10.8773096516442,74.7297230584533,67.467513710391,"Sarcoma","8 - 19","12 - 29","Naive"
"CTG-2735",7.47815038550536,76.7815028310567,70.3105123290622,"Sarcoma","5 - 12","8 - 20","Pretreated"
"CTG-2782",44.8689023130321,77.2975428712133,78.7556806363869,"Sarcoma","35 - 55","56 - 87","Pretreated"
"CTG-3010",22.4344511565161,66.40013811198,64.7733339189523,"Sarcoma","19 - 29","30 - 46","Pretreated"
"CTG-3067",10.8773096516442,73.82502136849,60.8198621627929,"Sarcoma","8 - 17","13 - 27","Naive"
"CTG-3117",9.44608469748046,69.0569170281167,62.029703977072,"Sarcoma","8 - 11","13 - 17","Pretreated"
"CTG-3166",7.8032873587882,66.1589896543966,55.7870380999224,"Sarcoma","6 - 10","9 - 16","Pretreated"
"CTG-3419",15.9533874890781,112.272411171247,111.400840659383,"Sarcoma","13 - 20","20 - 32","Pending"
"CTG-3483",9.97086718067382,63.3445315666467,55.6354895029595,"Sarcoma","8 - 13","12 - 21","Pretreated"
"CTG-3725",10.2557491001216,57.5362841113867,41.687935241003,"Sarcoma","7 - 26","11 - 41","Pretreated"
"CTG-3726",15.6065747175764,73.7256920170677,66.7182705341477,"Sarcoma","12 - 23","19 - 36","Pretreated"
"CTG-3828",13.052771581973,NA,NA,"Sarcoma","14 - 17","22 - 27","Pretreated"
"CTG-0437",5.93307799180591,73.73643900413,68.7215570102519,"Breast","4 - 10","7 - 15","Not available"
"CTG-0473",20.5114982002433,80.3063447222866,80.880865583792,"Breast","14 - 35","23 - 55","Naive"
"CTG-0670",6.83716606674776,66.4939644582733,69.6699362700309,"Breast","7 - 16","11 - 26","Pretreated"
"CTG-0708",11.9650406168086,93.17460926066,96.0537883168991,"Breast","8 - 20","12 - 32","Pretreated"
"CTG-0717",14.9563007710107,82.4581132370533,94.7135148763275,"Breast","11 - 24","17 - 38","Pretreated"
"CTG-0807",14.3580487401703,87.9961528815366,87.9035041609756,"Breast","11 - 23","17 - 36","Pretreated"
"CTG-0869",6.46758952259923,79.2969261847367,76.7423600185205,"Breast","5 - 9","7 - 14","Pretreated"
"CTG-0888",10.7149617463957,75.7583074697133,75.3558439810753,"Breast","7 - 20","12 - 31","Pretreated"
"CTG-1017",5.88444620498783,89.1541104995133,86.3303795207653,"Breast","5 - 10","7 - 16","Pretreated"
"CTG-1018",10.4043831450509,84.10167078802,80.2724366187666,"Breast","7 - 17","12 - 27","Naive"
"CTG-1019",11.217225578258,90.64215640818,88.5110688266961,"Breast","7 - 23","12 - 37","Pretreated"
"CTG-1059",10.557388779537,73.0429709116533,60.1646389269734,"Breast","7 - 20","11 - 32","Pretreated"
"CTG-1106",23.1581431293069,82.9553755273401,83.8792379929234,"Breast","16 - 43","25 - 68","Pretreated"
"CTG-1124",13.8058160963176,76.2968016770234,82.6901072616596,"Breast","10 - 25","15 - 40","Naive"
"CTG-1151",25.6393727503041,94.03627607938,91.9157872002285,"Breast","17 - 42","28 - 66","Pretreated"
"CTG-1153",11.217225578258,80.6070394634666,80.5319356772588,"Breast","9 - 17","14 - 26","Pretreated"
"CTG-1167",9.83427995902075,104.250710315043,103.644150992139,"Breast","7 - 16","11 - 25","Pretreated"
"CTG-1171",18.8921693949609,106.27439360159,106.739993515693,"Breast","13 - 33","21 - 52","Pretreated"
"CTG-1184",7.25153976776278,86.8734058625932,88.2830825004349,"Breast","5 - 12","8 - 18","Not available"
"CTG-1205",16.6954055118259,65.93337589723,68.7495001333579,"Breast","11 - 22","17 - 35","Not available"
"CTG-1207",10.8773096516442,61.5430276076067,52.7733013705855,"Breast","8 - 16","13 - 25","Not available"
"CTG-1211",10.8773096516442,98.0040958466499,93.769705214023,"Breast","8 - 18","13 - 28","Pretreated"
"CTG-1242",8.25175214952316,75.72550140789,73.4313404380612,"Breast","6 - 10","9 - 16","Pretreated"
"CTG-1260",19.9417343613476,102.473941704657,103.065711513684,"Breast","14 - 38","22 - 60","Pretreated"
"CTG-1325",11.217225578258,84.4447008288034,82.2878056350913,"Breast","8 - 17","12 - 26","Not available"
"CTG-1340",14.076518372716,87.2683133642367,86.8840593747914,"Breast","10 - 25","16 - 39","Pretreated"
"CTG-1350",21.114777559074,104.461277542013,107.254523199669,"Breast","13 - 32","21 - 50","Pretreated"
"CTG-1365",14.6510701430309,67.4430544157533,72.2556283447011,"Breast","10 - 33","15 - 52","Not available"
"CTG-1374",8.97378046260643,72.9557307462134,72.9166723181319,"Breast","7 - 14","11 - 22","Not available"
"CTG-1408",28.7160974803406,88.7813030164299,88.5923784701755,"Breast","20 - 52","32 - 83","Pretreated"
"CTG-1475",16.3159644774662,105.95048064457,114.433411057351,"Breast","12 - 26","19 - 42","Pretreated"
"CTG-1520",4.48689023130322,86.1237350676233,91.3273615863113,"Breast","4 - 7","6 - 11","Pretreated"
"CTG-1646",14.9563007710107,69.44105642533,69.2609539177385,"Breast","10 - 25","16 - 39","Pretreated"
"CTG-1684",22.4344511565161,95.1664875128134,98.0083091981099,"Breast","16 - 35","25 - 56","Pretreated"
"CTG-1705",8.64942695190982,107.849917339873,115.779794803165,"Breast","6 - 12","10 - 19","Pretreated"
"CTG-1714",10.7149617463957,83.1646661027234,89.7575657001335,"Breast","9 - 14","13 - 22","Naive"
"CTG-1727",12.3776282242847,83.7187777196766,81.1076087732778,"Breast","8 - 19","13 - 30","Naive"
"CTG-1883",4.43149652474392,79.4306867573266,75.0765417944827,"Breast","3 - 7","5 - 10","Naive"
"CTG-1909",14.3580487401703,81.8596542622,78.8208078851327,"Breast","10 - 23","17 - 36","Naive"
"CTG-1941",7.88903776932434,87.98693714242,95.4134510515246,"Breast","6 - 12","10 - 19","Pretreated"
"CTG-1967",42.2295551181479,76.1857250467634,77.2238073661639,"Breast","30 - 73","47 - 116","Pretreated"
"CTG-1991",15.9533874890781,110.349517907557,113.339976998922,"Breast","14 - 22","22 - 35","Naive"
"CTG-2010",12.5947795966406,88.8108987117267,90.0809078622068,"Breast","8 - 29","13 - 46","Pretreated"
"CTG-2055",9.70138428389885,65.1332977540534,61.233373332082,"Breast","6 - 14","9 - 23","Pretreated"
"CTG-2061",14.3580487401703,73.27079023327,71.474806800198,"Breast","12 - 26","19 - 41","Naive"
"CTG-2198",17.9475609252129,90.2464607947066,91.1566469842008,"Breast","13 - 29","20 - 46","Pretreated"
"CTG-2208",9.70138428389885,72.4596093125334,62.0666403232289,"Breast","6 - 16","10 - 26","Naive"
"CTG-2215",8.97378046260643,71.52090613111,71.075304545978,"Breast","6 - 10","10 - 15","Pretreated"
"CTG-2220",18.4077547950901,80.8841261947466,83.3558199793108,"Breast","14 - 29","22 - 46","Not available"
"CTG-2279",5.39776268427455,68.2636190047234,59.9299163017579,"Breast","3 - 9","5 - 14","Pretreated"
"CTG-2308",14.076518372716,96.7484705031566,99.732063940162,"Breast","9 - 22","14 - 35","Pretreated"
"CTG-2328",5.60861278912902,116.16609685022,124.6613436193,"Breast","9 - 27","14 - 43","Pretreated"
"CTG-2349",4.98543359033691,79.9777087820033,78.7213979257384,"Breast","4 - 8","7 - 12","Pretreated"
"CTG-2353",18.8921693949609,72.3031983880733,71.646135338963,"Breast","14 - 28","22 - 44","Naive"
"CTG-2397",12.3776282242847,80.0339870544566,77.7417488480957,"Breast","9 - 16","14 - 25","Naive"
"CTG-2431",11.5790715646535,79.63385977974,78.1579277347316,"Breast","8 - 17","12 - 27","Naive"
"CTG-2432",15.2745199363514,102.548349109377,107.09331799115,"Breast","9 - 19","15 - 29","Pretreated"
"CTG-2436",22.4344511565161,73.8712769716733,71.6309834972733,"Breast","21 - 60","34 - 94","Naive"
"CTG-2468",29.9126015420214,74.7180370082667,72.8162096660096,"Breast","20 - 45","32 - 72","Pretreated"
"CTG-2488",23.1581431293069,79.0294783071466,82.3169491503605,"Breast","18 - 29","29 - 46","Pretreated"
"CTG-2515",8.75490776839652,69.89512707266,69.0623920663912,"Breast","6 - 11","10 - 18","Naive"
"CTG-2518",11.5790715646535,77.0494928655666,76.3015196646815,"Breast","10 - 18","16 - 29","Pretreated"
"CTG-2611",18.4077547950901,84.8627682918967,89.9776005481529,"Breast","13 - 37","21 - 59","Pretreated"
"CTG-2623",12.1678379153986,74.5409527371467,68.4721669980282,"Breast","9 - 17","15 - 27","Pretreated"
"CTG-2652",18.8921693949609,97.4605900645833,98.2982042652224,"Breast","14 - 27","22 - 43","Naive"
"CTG-2697",8.5464575834347,79.99208445704,81.7335892224484,"Breast","7 - 12","11 - 19","Pretreated"
"CTG-2721",23.9300812336172,99.1640884381501,106.035990798077,"Breast","15 - 24","24 - 38","Pretreated"
"CTG-2742",24.7552564485695,79.4196425019933,81.2804654229697,"Breast","20 - 54","32 - 86","Pretreated"
"CTG-2745",17.0929151668694,70.44891944737,73.9070411705053,"Breast","10 - 32","16 - 50","Naive"
"CTG-2810",15.6065747175764,109.971906112623,108.321407788484,"Breast","11 - 58","17 - 92","Pretreated"
"CTG-2829",9.57203249344687,74.9965681502233,74.2947257926871,"Breast","8 - 12","12 - 19","Pretreated"
"CTG-2849",5.48017127487416,72.7716788458933,68.0547465095113,"Breast","4 - 8","6 - 13","Naive"
"CTG-2854",25.6393727503041,105.451473423793,103.803071662778,"Breast","18 - 35","28 - 56","Pretreated"
"CTG-2891",23.9300812336172,95.4157306997767,96.9192680089093,"Breast","14 - 42","22 - 66","Pretreated"
"CTG-2920",19.4027685677977,74.2120148818467,72.6614366183789,"Breast","11 - 38","18 - 61","Naive"
"CTG-2921",17.0929151668694,102.889978693527,106.770832766065,"Breast","12 - 29","18 - 46","Pretreated"
"CTG-2930",22.4344511565161,89.3770452185633,89.69741724508,"Breast","14 - 72","23 - 115","Pending"
"CTG-2950",25.6393727503041,84.6851813425866,86.387221854052,"Breast","20 - 38","31 - 61","Pretreated"
"CTG-2959",13.8058160963176,100.559185894467,95.7218712215316,"Breast","9 - 26","15 - 41","Pretreated"
"CTG-2970",8.97378046260643,59.61647155419,54.5639224902073,"Breast","7 - 12","11 - 20","Pretreated"
"CTG-3017",12.3776282242847,94.8987471120866,101.543398438981,"Breast","11 - 36","17 - 57","Naive"
"CTG-3090",10.8773096516442,82.3509706834233,86.462494856953,"Breast","7 - 16","12 - 26","Naive"
"CTG-3103",20.5114982002433,75.9062097015266,75.1793713755137,"Breast","20 - 28","31 - 44","Pretreated"
"CTG-3104",8.34770275591296,89.1158564812534,92.8781814402226,"Breast","8 - 15","12 - 23","Pretreated"
"CTG-3128",29.9126015420215,83.0314073364467,80.2832799181031,"Breast","25 - 41","39 - 66","Pretreated"
"CTG-3131",12.3776282242847,70.40658447938,69.5657714608074,"Breast","10 - 15","16 - 23","Naive"
"CTG-3216",23.1581431293069,90.0498581522967,96.4153063733788,"Breast","16 - 41","25 - 64","Pretreated"
"CTG-3253",14.3580487401703,68.1593636821533,65.8207068700791,"Breast","12 - 19","20 - 30","Pretreated"
"CTG-3266",14.3580487401703,104.513243175463,107.186388644459,"Breast","10 - 24","16 - 39","Pretreated"
"CTG-3273",15.6065747175764,72.72348038691,74.197218439476,"Breast","14 - 27","23 - 43","Pretreated"
"CTG-3283",13.052771581973,101.452489241403,111.087896852512,"Breast","12 - 23","20 - 37","Pretreated"
"CTG-3296",21.7546193032883,98.6892728530599,101.529565070549,"Breast","12 - 39","20 - 61","Pretreated"
"CTG-3298",17.9475609252129,111.330591001973,112.680637164331,"Breast","16 - 25","25 - 40","Pretreated"
"CTG-3302",9.70138428389885,69.3167236759467,66.4889183744386,"Breast","8 - 19","12 - 30","Pretreated"
"CTG-3303",27.6116321926352,89.1063208464299,91.8971754876744,"Breast","22 - 38","34 - 60","Pretreated"
"CTG-3342",7.47815038550536,63.26816336479,61.6803125264266,"Breast","5 - 12","8 - 18","Pretreated"
"CTG-3346",17.0929151668694,97.4485764318134,95.568349097537,"Breast","13 - 22","20 - 36","Pretreated"
"CTG-3347",19.9417343613476,104.748153733087,111.904676845145,"Breast","15 - 30","24 - 48","Pretreated"
"CTG-3399",12.3776282242847,69.0901570921501,58.9720069305405,"Breast","8 - 18","12 - 29","Pretreated"
"CTG-3400",34.1858303337388,121.20209057235,119.323807722528,"Breast","29 - 59","46 - 93","Pretreated"
"CTG-3401",29.9126015420214,99.43200886129,104.892577868581,"Breast","30 - 48","47 - 75","Pretreated"
"CTG-3434",31.2131494351528,106.860463788397,111.629319160324,"Breast","22 - 51","35 - 82","Pretreated"
"CTG-3459",21.114777559074,80.9274554618733,82.7231567530452,"Breast","15 - 27","24 - 43","Naive"
"CTG-3478",8.34770275591296,75.3203224584867,60.2001790979301,"Breast","6 - 12","9 - 20","Pretreated"
"CTG-3496",21.114777559074,79.0595067360399,80.5856240502692,"Breast","15 - 30","23 - 48","Pretreated"
"CTG-3498",18.8921693949609,91.2089282162766,91.8222853551653,"Breast","16 - 29","26 - 46","Pretreated"
"CTG-3500",8.97378046260643,61.8155851517967,57.7992657443099,"Breast","7 - 14","11 - 22","Pretreated"
"CTG-3501",9.57203249344686,58.8507348103367,55.534326251043,"Breast","7 - 13","12 - 21","Pretreated"
"CTG-3502",13.5453290001607,61.2197861888533,59.1277428563858,"Breast","8 - 15","13 - 24","Pretreated"
"CTG-3503",6.83716606674776,59.4749239901967,52.0597461793958,"Breast","4 - 7","7 - 11","Pretreated"
"CTG-3533",10.7149617463957,86.6932446131666,92.7319153179772,"Breast","9 - 14","15 - 23","Pretreated"
"CTG-3606",23.1581431293069,97.5575091344666,96.5072135116183,"Breast","51 - 71","81 - 113","Pretreated"
"CTG-3724",42.2295551181479,NA,NA,"Breast","30 - 79","48 - 125","Pretreated"
"CTG-3867",14.076518372716,79.9645223105034,72.3847578944552,"Breast","Not available","Not available","Pretreated"
"CTG-3884",21.7546193032883,100.1869559337,100.474511780495,"Breast","Not available","Not available","Pretreated"
"CTG-4149",NA,89.3047491437866,84.6440576620035,"Breast","Not available","Not available","Pretreated"
"CTG-0434",13.052771581973,73.20298501563,73.0435116240939,"Head and neck","10 - 20","15 - 32","Not available"
"CTG-0462",9.97086718067382,80.7025218751434,78.3105799785802,"Head and neck","7 - 15","12 - 24","Pretreated"
"CTG-0505",18.4077547950901,68.5198072778367,68.0372025400599,"Head and neck","13 - 40","20 - 63","Not available"
"CTG-0566",24.7552564485695,NA,NA,"Head and neck","25 - 75","40 - 119","Pretreated"
"CTG-0664",7.32553507151546,72.6350510405534,70.1162790554555,"Head and neck","7 - 11","10 - 18","Not available"
"CTG-0674",10.8773096516442,68.3342596625233,62.4847712248922,"Head and neck","8 - 20","13 - 32","Pretreated"
"CTG-0701",17.509815536793,96.6710711267266,92.9339230386502,"Head and neck","11 - 50","18 - 79","Pretreated"
"CTG-0719",14.6510701430309,74.1132836153266,66.9407299759113,"Head and neck","11 - 22","17 - 35","Not available"
"CTG-0776",5.98252030840429,81.08498355797,82.4254897802354,"Head and neck","4 - 9","6 - 14","Naive"
"CTG-0786",13.8058160963176,79.5619137837267,76.691755896102,"Head and neck","10 - 23","15 - 37","Naive"
"CTG-0787",13.052771581973,70.71480811304,60.973597397419,"Head and neck","9 - 23","14 - 37","Not available"
"CTG-0790",15.9533874890781,90.7730238769933,93.6837274331645,"Head and neck","11 - 33","17 - 53","Naive"
"CTG-0798",15.9533874890781,81.6046450590233,84.050007431443,"Head and neck","11 - 26","18 - 41","Pretreated"
"CTG-0820",10.7149617463957,65.1568876782933,63.9183730686051,"Head and neck","7 - 20","11 - 32","Pretreated"
"CTG-0840",10.8773096516442,76.19062702227,76.7314535325092,"Head and neck","8 - 20","13 - 32","Pretreated"
"CTG-0871",8.64942695190982,74.1121369870399,74.3932698229882,"Head and neck","6 - 12","10 - 19","Naive"
"CTG-0891",9.44608469748046,80.7981950349934,73.6796684568949,"Head and neck","6 - 20","10 - 31","Naive"
"CTG-0901",13.5453290001607,84.00256135117,79.7206341389533,"Head and neck","7 - 230","11 - 364","Naive"
"CTG-0953",8.64942695190982,72.2078820825767,65.7062100032501,"Head and neck","6 - 15","9 - 24","Not available"
"CTG-0977",10.7149617463957,67.9011291089266,62.9894147549819,"Head and neck","8 - 15","12 - 24","Not available"
"CTG-1100",11.5790715646535,84.82662852984,84.5466380918389,"Head and neck","8 - 15","13 - 23","Not available"
"CTG-1130",11.3952767779129,71.2447093234433,62.8381948419199,"Head and neck","7 - 22","11 - 34","Pretreated"
"CTG-1131",9.57203249344687,72.5340071317466,67.3593348798277,"Head and neck","6 - 24","9 - 37","Pretreated"
"CTG-1140",10.557388779537,87.2615292188967,84.1438662380561,"Head and neck","7 - 15","11 - 24","Not available"
"CTG-1443",10.7149617463957,107.582807256833,109.566830479754,"Head and neck","11 - 21","17 - 33","Not available"
"CTG-1625",17.509815536793,NA,NA,"Head and neck","10 - 31","16 - 49","Pretreated"
"CTG-1880",6.08391895769928,64.0470739726,65.2637597909085,"Head and neck","5 - 9","8 - 14","Naive"
"CTG-1888",6.64724478711588,NA,NA,"Head and neck","5 - 8","7 - 12","Naive"
"CTG-1946",32.6319289549325,99.1709984522833,98.5330607231375,"Head and neck","22 - 52","34 - 83","Naive"
"CTG-1953",14.6510701430309,76.5159017879567,83.5752423630932,"Head and neck","12 - 47","19 - 74","Naive"
"CTG-1990",9.97086718067382,101.487193759753,101.695145995649,"Head and neck","7 - 25","12 - 40","Pretreated"
"CTG-1994",14.6510701430309,72.9249513922434,66.9742102939129,"Head and neck","11 - 19","18 - 30","Pretreated"
"CTG-2018",18.8921693949609,70.9677323305767,67.094640002656,"Head and neck","10 - 64","16 - 101","Naive"
"CTG-2020",17.0929151668694,74.5705264616833,75.0038606658696,"Head and neck","15 - 27","24 - 42","Pretreated"
"CTG-2045",9.08737262036095,73.6563380312967,74.3897471783137,"Head and neck","9 - 15","14 - 23","Naive"
"CTG-2050",9.32340827283785,67.0541696933367,64.7345647103947,"Head and neck","11 - 16","18 - 26","Naive"
"CTG-2052",14.076518372716,71.7538199288433,65.1876165773042,"Head and neck","10 - 23","16 - 37","Naive"
"CTG-2062",9.20387739754506,70.3516030244033,60.0779599304553,"Head and neck","5 - 9","8 - 15","Naive"
"CTG-2063",11.9650406168086,75.8687838680967,73.18768273454,"Head and neck","9 - 15","15 - 24","Pretreated"
"CTG-2065",13.2944895742318,91.4939174527533,92.3495657373918,"Head and neck","10 - 18","15 - 29","Naive"
"CTG-2074",35.8951218504257,77.9006173628066,74.6306639760652,"Head and neck","26 - 53","41 - 83","Naive"
"CTG-2079",7.47815038550536,59.3299084272467,36.9716935673883,"Head and neck","5 - 11","8 - 18","Naive"
"CTG-2104",10.4043831450509,NA,NA,"Head and neck","6 - 26","10 - 41","Naive"
"CTG-2120",13.8058160963176,73.06498057778,69.4754821873331,"Head and neck","10 - 26","16 - 41","Naive"
"CTG-2129",11.217225578258,NA,NA,"Head and neck","8 - 20","13 - 32","Naive"
"CTG-2130",9.44608469748046,59.6896975197767,57.7129765048398,"Head and neck","6 - 12","10 - 20","Pretreated"
"CTG-2154",11.3952767779129,76.46549803666,78.7114477020116,"Head and neck","8 - 22","12 - 34","Naive"
"CTG-2165",16.6954055118259,60.4908209508266,55.8870357270563,"Head and neck","14 - 35","22 - 56","Naive"
"CTG-2169",19.4027685677977,80.3782421132067,78.1998752622215,"Head and neck","14 - 62","22 - 99","Naive"
"CTG-2175",21.7546193032883,74.6687111906333,78.1950446253892,"Head and neck","16 - 42","26 - 67","Pretreated"
"CTG-2183",14.9563007710107,65.7829671891833,65.6014658135009,"Head and neck","11 - 22","17 - 35","Naive"
"CTG-2186",10.8773096516442,67.3495288800234,67.4641764669768,"Head and neck","10 - 17","16 - 27","Naive"
"CTG-2187",6.58626088998637,65.9882251760733,59.9646010732476,"Head and neck","4 - 19","6 - 30","Naive"
"CTG-2191",23.1581431293069,NA,NA,"Head and neck","17 - 39","27 - 61","Pretreated"
"CTG-2259",11.5790715646535,83.4352576169234,90.3307639796704,"Head and neck","9 - 16","14 - 26","Naive"
"CTG-2260",20.5114982002433,76.2856929326466,79.1580001218118,"Head and neck","16 - 39","25 - 62","Naive"
"CTG-2262",11.217225578258,65.2795772563067,60.2772602991136,"Head and neck","12 - 18","18 - 29","Naive"
"CTG-2273",14.6510701430309,80.1451881287833,81.5344976232633,"Head and neck","10 - 22","17 - 35","Pretreated"
"CTG-2289",8.44591102362958,61.7808042636,60.479178909583,"Head and neck","8 - 29","13 - 47","Naive"
"CTG-2318",11.217225578258,81.6992848747667,81.1744153643659,"Head and neck","9 - 15","14 - 23","Pretreated"
"CTG-2321",21.7546193032883,87.7215222245566,86.0890106403119,"Head and neck","18 - 34","28 - 53","Naive"
"CTG-2324",12.8196863751521,82.5054255612767,91.7153180561918,"Head and neck","9 - 21","14 - 34","Pretreated"
"CTG-2332",21.7546193032883,92.6190905416867,91.9854519023563,"Head and neck","15 - 34","24 - 54","Naive"
"CTG-2336",11.9650406168086,78.3507179217099,71.8448030761822,"Head and neck","8 - 21","13 - 34","Naive"
"CTG-2339",14.9563007710107,66.6565915242167,68.4127591046621,"Head and neck","9 - 25","15 - 40","Naive"
"CTG-2344",12.8196863751521,63.4056947726333,57.2026962289685,"Head and neck","8 - 44","13 - 70","Pretreated"
"CTG-2352",25.6393727503041,79.2069501526266,86.2757819719083,"Head and neck","21 - 42","34 - 67","Pretreated"
"CTG-2519",8.5464575834347,60.9420752349467,55.5316257307889,"Head and neck","7 - 13","11 - 21","Pretreated"
"CTG-2668",10.8773096516442,74.8201268995099,74.7073662629741,"Head and neck","8 - 21","12 - 33","Naive"
"CTG-2671",19.9417343613476,NA,NA,"Head and neck","15 - 30","24 - 48","Naive"
"CTG-2673",7.8032873587882,73.10899769689,75.8480163521433,"Head and neck","6 - 10","10 - 16","Not available"
"CTG-2686",10.1113019296974,71.1966537372834,73.86207385268,"Head and neck","8 - 16","12 - 25","Naive"
"CTG-2715",34.1858303337388,72.8922197632699,63.2484207961447,"Head and neck","18 - 89","28 - 141","Pretreated"
"CTG-2718",8.15798223873312,73.9123561293134,75.1806165899649,"Head and neck","7 - 10","11 - 15","Naive"
"CTG-2719",5.98252030840429,60.8975298171367,35.4518374104343,"Head and neck","3 - 7","5 - 11","Naive"
"CTG-2723",19.4027685677977,79.95498302563,74.9209180130238,"Head and neck","11 - 175","18 - 277","Naive"
"CTG-2739",8.34770275591296,75.8813219993767,72.4081173935925,"Head and neck","6 - 13","10 - 21","Naive"
"CTG-2741",16.3159644774662,74.5355497404967,73.0210547354205,"Head and neck","10 - 38","16 - 60","Pretreated"
"CTG-2763",20.5114982002433,75.03588817412,73.4568432977243,"Head and neck","12 - 35","20 - 56","Naive"
"CTG-2787",17.0929151668694,NA,NA,"Head and neck","12 - 46","19 - 73","Naive"
"CTG-2857",32.6319289549325,NA,NA,"Head and neck","19 - 124","29 - 196","Naive"
"CTG-2905",14.076518372716,69.90235213248,66.3822176622287,"Head and neck","8 - 27","13 - 43","Naive"
"CTG-2909",14.3580487401703,67.4074048412967,71.5694469337185,"Head and neck","11 - 24","18 - 39","Pretreated"
"CTG-2928",13.2944895742318,78.4746218489867,72.2855707193142,"Head and neck","11 - 18","17 - 29","Naive"
"CTG-2984",4.0331597584748,65.3108880134633,58.1783912298469,"Head and neck","3 - 6","5 - 9","Pretreated"
